Input,Label
Sex college teknik,no
Oba wage  hoda aya innawa,no
Ratata samagiya gemu kiyana aya danna balmu like ekak,no
mun okkoma ekai kadawalata yanna epa.,yes
"Read Quran ( 2:190 , 2:191 and chapter 9 Verse 5 ). can you explain those verses?",no
Sakiya oyalage wage page thiyenakm rate samaya thiyenawa thanxs sakiya page bros,no
Shakira attached,no
"samahara naraka minissunge veraddeng mulu muslim kattiyatama duka deela inne ape samahara tamil,sihala kattiya.",no
Sakiya good job bro.. keep it up ?,no
muslim aya uuranta baya ei kiyala kiyala ahanna . Davena prashna,no
"Ane manda,kawa wishwasa karannada.",no
Allahta puka diyan allah kiyala labbak ne,yes
Anee para thambi okkoma akai as 2ta penna baa.thopi Allah dewiyantath apahasa karana sakkali jathiyak,yes
"okkoma sakkii bola ,,, ookun  hamooma  ""BRAIN WASHED""",yes
It's really unfortunate that innocent muslims in Sri Lanka have to suffer for the actions of those extremist scumbags. Hope the island returns to a peaceful nation soon.,no
"Excellent interview, very valuable and informative.  I like the Muslim person and the lady, they make sense.  There's good and bad in every race and religion and its compounded by politics.",no
Niyama muslim minissu enna wa #Respect,no
Atakota   ???????    ????   phi   tiyanna   aii,no
Great  ?,no
Sakkeileyo karana ??????  ??????  musleima ??? ?????  pu louku ayaga wada wanna atei,yes
Respect you Brother  Jathiyen bedenna epa api hemoma minissu,no
Hoda wadak malli,no
Mama nam mage kawru hari mekata sambandai kiya dana gattha nam maranawa ewage modayo apith ekka jeewath unama karadarayak ...,yes
Ane ban me ratata kelawenne mehemai. Moda wenna EPA. Akkramanaya ehemamai.,yes
Thambi kadawalata yana aka nathara karapalla....,yes
Aka thambiyek wath mitapasse wishwasa karanna epa bolaw...,yes
Woow its a great news,no
Meya me saamanyadewal wotharai kiyanme,no
It's a relief to watch these comments,no
Atthatama  hoda aye innawa moshlim  paw me aye,no
Tamath Sarwagamika Puttuwema Ellila Hitapan..ubala wage Eun Marila Yanna One Hathikareeeee,yes
We don't need to do extensive research as others have already done it on Quran and it's verses.,no
At 3:10 he says that Islam instructs no violence or death to non believers. This is a false statement then and there.,no
Hoda aya ati et hoda (pennan) inna jere uo godai.,no
Great job bro,no
Great job bro,no
Great job bro,no
Great job bro,no
Unlike kale isis da?,no
Mewata ahu wenna epa. Mun 90% same view ekaka inne,no
Bro.meeta vada islam geana odhata dhanna kattiya innawa sinhala leq katha karanna eyalava oyala prgrme karanna k.,no
why not in english.,no
ape modoyo munge boru thawth pili gannawa ne,yes
I S jihadi. Tererist.. Shot down,yes
No matter what he says. It's definitely true that nabi and quran has told their believers to kill non believers.,no
If he says he doesn't know about it he is not a real Muslim,no
Ettamai,no
Comment tika dakiddi aradei guys ublta,yes
Denwt terun aragn inna ekata thankyou saho,no
Thank you so much for this video brother.we all are Sri Lankanís,no
yougood,no
youok???,no
Game lnewei bro ekata hitapu kattiya unoth wedak ne api allala denawamai bro,no
Ponna sakiyo pakaya wenna epa ballo kade Ghilla keri thambinta ponnaya,yes
"superve, thankz me wage video upload karana ekata",no
"Apita jaathibeda ona ne, api okkoma lankikayo, ekwee nekitimu",no
Mathaka theya ganilla bn mona jatheya akak unath api maranawa bn aka thama tharun ganna onac,no
yako video ekak karnawanam clean ekata hadahang ! back ground eke redde music eka nawathahang !,yes
We want the people like him,no
Kalin chanal ekata mokada unee,no
RELIGION of *PEACE*,no
Good. true answer brother. we all one nation,no
Ela ela macho ombala gena aadambarai,no
Chanal eka ohama karagana yamu,no
Api 100? support karanavo,no
{Love you srilanka   },no
Good job,no
Hope these people will be safe from the extreme elements.,no
Moda Thowheed jamath utto..,yes
Samagiya  vitharai one,no
Oyata jp,no
Chik lankawema eun homa karanawada adigavilama pala paw asarana akka udaw karanna paww..,yes
Akke koheda inne oya,no
Gament ekakata gihilla hamba karaganna gewal wala wadata pita ratawal walata noya,no
Ane pau okita koi mohhothaka hari oya aparada pala denawa kerima weseyak,yes
Minis kama ballata gihilla anunta wala kapala thamangema jathiye unta kelawan un iddi kohomada hariyanne hena gahanna ona,yes
Mokada yako Dineash,yes
Ethanth lankawe ganiyek thawath lankawe ahinsaka manussayekwa asaran karanne...,yes
Nethinam gedara babage nomber eka denna prsne visadala dennam,no
Inna rata kiyanna inna thena kiyanna pulun deyak karanna balannam,no
Lankawe genu magha sakkili oyata kawuruhari pihita wei,no
Paw ???????,no
Moko,no
Pau yakooo me akka,no
plz help her,no
Oya ambasiyata yanne akki.,no
Oyat a udaw karayi dinesh Malli meka dakkama parissamen inna nangi  budu saranayi oyata mat inne qatar wala,no
Ane paw ??????? ?????? ???? karanna .????? akke oya inna rata ...,no
Loke inna jarama jathiya......paw yako......,yes
Maha kaaalakanni jathiyak...henama gahapan....ane me kenata udaw karanna kawruhri,yes
Ane pau me nangita udau karanna puluwan tharan ikmanata,no
Komatati sinhala uni sinhala unita walakapanawa jaraha ganu,yes
Plsz M eyata udau karana,no
"Anyway, we hope that she communicate with us to cancel her contract and start working elsewhere and we wish her good luck.",no
homa thama apa un  thama sakkili karana weda kranna oyata pihita wei hariyanawa  an udau karanna,yes
Ai deiyane minissu mechchara napuru.. Mage sahodariya oyata monawada karanna one..,no
Ani ????? ?????????? ???? ?????? ????? epaaaa ???? ???????? ???? epaaaa teruwan ????? ???,no
Pau ane udauak karannako pau ane,no
ane deiyaneee.... pau.... oya gana dines ayiya balawiii parissamin inna....,no
Oya gedarin panala Embassy yanna,no
Ane deiyane lankawe wela hodin neda ona pau ane me akkata udau karanta,no
Oyage nambare ewanna,no
Paw,no
Koheda rata,no
Pau deviyane me manusseyate udau karanne,no
Api aunma tamai koha giyat apita wada kapane nagi oyata dinash mali  udau karai bata wana aka jesu pihitai oyata,no
Oy a pau KO had a rata,no
Oya para ganita hana gahanava matath apu alutha hitapu gani ohomakara mama aliyatama damma napuru ganu,yes
Ohoma Jara genu innawa nangi,no
Pirimi 10 eka kamareka edi eth ganu 2 enna ba ekata e thama hati,no
Nangi oyata devipihitai ape rate ganu Arabi karayanta wada jealous take care,no
Akke oya anik genige lankawe gewal koheda kiyanna thibbe. Hoyagana gihin unge jathiyatama hamannala enna. Kalakanni hutthiyo,yes
"Paw, ikmanatama shanyak lebei",no
Adanna epa akka ikmamnin shanayak laba devi denesh malli,no
anee puluwan ekmanata eyage ge maru karala denna apee unma thama apita kelinne kohe giyath,no
Me akka Inna rata kiyanna issara wela dubainam api Udau Karanna lesthi,no
Oyata dines suranala udaw karaiy bayawenda aepa  mamath  me vidiyowa  dinesge pon aekata sheyar kara theruwan saranai .,no
Ane pau deyyane,no
Oya ara ganige photo dannakooo,no
Sad,no
apama  patta wasiyo  wasigaputala tamai  apa unwa  kapanna.,yes
danda fb akata okige photo akai koha patta wasiyakdai kiyala,yes
A.Anita.hodak.wanna.apa.oyata.hodak.wai,no
Jesu pihitay sahodaree oyata ekmabata sadaranayak wenna kiyala prartana karami,no
Malli oya wade ohamama karagena yaman obata jaya,no
Ai palli wala avi audha.,yes
Muslim Sahodarayani me praharaya sidukale amarikawe uwamanawata kala deyak  mokada amarikawata one yudha Bess ekak sthapitha  karannayi .. api ekamuthuwela jerwathwemu .. amarikawata akulagena yana amarikan thanapathiwariya whama iwath kalayuthui,no
Good job brother,no
Hematenama palli hadanawane munta hemathankama palli hadanna onada ape gamata eka pansalai sinhalune hadapiya gama wetema pansal bs,no
Afghanistan indonision mokada une meka minisu andawasawa muslim kiyanne terrorists nikan sudu hunu gagada onne na,yes
oya paka music yesdanna apa mavaga sakachcha karaddi,yes
Sakiya.... ko siyalu rahas... monada heli kala rahasa... topic eka wage na video eka...,no
Nice clips allah bless you tell the truth ti the world for peace.,no
Hoda.???? .innawa,no
Maddrasa kiyanne ..pasalata ..arabiyen atta,no
Niyamai  sakiya  malli,no
Apiwa  dhanuwath  karata,no
Respect you brother,no
Hari welawata  kalayuthude karala thiyenwa obasemata theruwan saranai,no
Machan wenna one api hamoma ekatu wela rata godadana eka,no
Hithe ethi jeesuthuma siriyawata bahiy kiyala nedokin.thopi thama anday.,no
Palayan pakayo yanna. Muslim novana thope kuranaye alla namen maranna kiyala thiyenava. Palayan pakayo yanna. Thopi vinasa karanne ne. Thopi mini maruvo.,yes
Hoda aya innawa,no
Muslim lankwat epa kiynna aya like ekk dnna mun nisa minisu kochr byen d inne lmaiwa scl ywne na. Kurnet gya bomba krya thma alla gne na ithn khmd muslim unwa wshwsa krnne,yes
Ape genuth Aran Petawu gahala rata  allanna(nokiwwata) Kona kapapu unne..okkoma ekai devavadi agam wala minisunta agamenma kiyanawa anik agamwala siddasthana winasa karanna Kiyala...ekai mun mawanelleth budu pilima keduwe..,yes
onna oyawa sub kara math,no
Ape peththenam na issara muslim uluwa wahanne nathiwa hoda hitaya     Baluweda jarana unta samawa denna hoda ne  ma oadmi,no
Ubalagay pirimi godakak val ballo,yes
Kaavath wiswaasa karanna baha.bada daru genuth bomba walata sambandai ..pirimiya weradi karanawa madiwata genuth ....?????,no
Uba ammatata hukahn,yes
Ubala vagey gu agamak mey loke ne,yes
Hoda hith tyna muslim ayath pau. me dewal nisa e minissuntath kochchara prashna wenawa athda,no
Thank you,no
Aniwaryenma obage katawa,no
Mu boru kiyanne,no
Eka hoda ekek na huththo,yes
Malli oyage chennal ekha godak hondai oya meh karana wede hari. niyamai hari saadaranai.ohoma yamu malli,no
Niyamai meh rateh inna muslim hemoma naraka nehe.naraka minissu hema jaathiyema innawa.,no
Mamat sinhala.namut matat muslim yahaluwo godak innawa,no
hama muslim minihama na wenna puluwan.eth ahu unu okkom muslim une.jathyantharen ewapu unda,yes
Muslim ahinsaka ayath athi kochchara ahinsaka unath un kemathi sinhala jathiya nethi wenawata ane unta dennam kisima anukampawak ne ara nethi una minisunge ahinsaka daruwan gena hithaddi denana tharahanam un gena  wachana walin kiyanna be,no
Hoda ??????  innawa,no
Horage  Ammagen pena ahanawa wage,no
Hoda muslim aya godak innawa.eth??,no
Muge aniwarya nithi 5 balahallako... kochara anda bakthikayoda mun,yes
Oya aettha kiyanne.,no
Api sinhala minissu. Hema muslim janyama mekata pali ne. Me muslim anthavadeenta udav kare me parlimentuwe inna narakaadiyo tika muva newatha nam parlimentuwata yawannam epa penawa ne waga keem ganna heti.,yes
Anun Gena viwechanaya Karanna kalin thaman niwaradi da kiyala Balanna. .,no
Kaurut minissu. Ai aagam wadayak.,no
Thanks brother you are great.,no
Ettatama niyamai Nana...,no
Ape Singhala Tamil minisunta vada. Islamiya minissu godak manasikata vetila thiyanava...,no
Nana minisunge muna balana Kota lejjai kiyaddi kadulu  pitavuna....,no
Api yes97no idan Muslim aya samaga sahodarayo wage hitiya api oun ekaka EKA pawlaka sahodarayo men thamath kisima karadarayak nomethiwa giwathwena aya,no
Pissu mun okkkma akai....dasa kariyo...habai sinhalaya wage nam namai.. apita wada munge aka muthuwa thiyenawa....,yes
Mulu ratema muslim gewalwala kadu bomba sinhalunge beli kapanna rata avith haduwe mun para haththa,yes
Kothanawsth nathi meya oyawa mula karala viwarai oya saha meka ahan inna minissuth rawatila iwarai muslim kisiwek viswasa karanna apa mokada un apita lanwla inne apen deyak kada ganna misak apita unge ganu denna neme ganuth hangan inne,no
Apita muslim kisiwek viswasa ne rate pansal 9nonono palli 9nonono.kohomada idan allana vidiya a wage thamai anith jathin mula karala rawatala gathane karala ratawal alla ganima meya kiyanne ayage agame minissunta vitharai denne wenath jathinta kisiwak denne ne,no
Apa  pansalak  hadanna  arabi  rataka  denawada  eth  ubalaga  palli  kiyak  apa  rata  thiyanawada  garu  janadipathi tumani  denna  apa  apa  baudda  rata  palli  hadanna,yes
Nubala  mona  dewal  kiwat  apa  me  singhala  rata  apita  aithi  weladam  karanna  vithari  ubala  awa  den  me  rata  alla  ganna  denna  baha,yes
Keriii thambiii marpiyoooo,yes
Very good answer sir.,no
Etin tambiyo otaran pin karanawanam mini maranna etin yako ayi ma maranna,yes
Supiri yaloova davi pitai,no
Me machn mu hariyt wistre danne nee mu kiyana ewa boru nee eth hoda danna knk gen ehuwnm phdilwa prshnwlt uttara hambey,no
Oya hoda wadak karanne theruwan saranai,no
Akige.nambare.puluwannam.dannako,no
Paw,no
Ayyo ape balu ganuma thama ape unta wala kapanne.paw kara haththa okita saha gahanawa,yes
nodokin lankve un ohommama thamai habai hamoma na samarak innava api eka ratene kiyalavath hithanna akka oya mona rateda oyata ikmanatama jesuge namen kauruhari pihita vei,yes
Nangi  oya emmbassyata yana oya lankawe ,no
mangi mama oyawadannawa  oyage nobare weada na mama sandhya oyaapi ekata rathnapure terningiye  mathakada Mata harima dukai nominate Danna akke parisamin Inna budusarani,no
ane pau e akkata ai me ape eumma ape eunta wala kapanne,no
Yakoo me desapalana un karana balu wada nisa ape ahinsaka ammala duk widinawa pau deiyane,yes
OyTa hoda tenak labei akka,no
Nangi gedara ayata kiyala videsa sewa akata peminili karanna kiyanna dinesh malli meka dakivi ane ayata denagaththoth monawa hari karavi ..iwasaninna monawa karannada..,no
Matath oya wage prasnayak thibuna iwasanna puluwanuparime ??????  den hemotama wada man hodawela munta,no
"Patta weseyo lankawe un ohoma tamai kawda oki oya adanna apa akke b,s",yes
NANGI OYA INNA RATA KOHEDA,no
Dinesh apith oyagen illane puluwan tharam ikmanata me yata  udaw karana plz......,no
Pita.allapu.Ratawal.wala.aya.hodayi.ekagedaraka.innaba.lankawe.dennek.ekka.Randuwenwami.pow.oya.udaw.karayi.dines.surangala.,no
Yako me ape lankawe geniyak puluwan tharam ikmanata udaw karapaan,yes
Oya.prwesamen.inna.ehema.nounoth.oya.phedilikaranna.mata.yannawenne.ubanisa.ekavage.innwanam.wenamadryak,no
Dan.oya.kohomahari.oyagedarin.pitawenna.kaliyen.eyta.diddawenneth.anek.peththa.kenekuta.valakeputh.eken.lebena.prethipala.ithamath.bhayanaki.innawa.thama.samrak.hemoma.ne.,no
Pau me manussaya ane udau karanna kauru hari,no
Oyata udau Maria ape gaththa thama kanne kothanath,no
Pau deiyane ai me wage weda karanne. Me wage genunta nam hodak wenne nehe,no
Nodakin Pahara Hatta Apa Sinhalayata Hana Gahala Tiyanna Oka Tamai Mamat Awu... 9k Enna Lankawa Ayat Akka Kisima Karadarayak Na,yes
ape.wesa.ganu.enna.tanaka.enna.baha.,yes
Paw deiyanee,no
Puluwan kenek udau karala me akkawa nidahas karala denne please pissuda wenawa,no
Oya wesita kala kam pala denawa akke alla dewiyange ratedima. Oya wesita thama yanna wenne oya duk nowi enna,yes
me vediyo bal bal rata ena moda genunta  kiyanna wacana ne,yes
Ane malliyo meyata pehitawenn  oyata pin,no
Koheda oya inne rata kiyanna isarala,no
Dinash aiya kiyana kana mayata udaw karanna plz loku udaw wak ane paw ane godak dukai oyt budu daranai aikke ane mtnm adano mka baaddi plz udaw kranna oyt deviya sampath labai,no
Anei paw udau karsnna,no
Sahodari oya davasata vachana deka thuna hari e rate bhashava igena ganna,no
Pau diyane lankave kattiya ai napuru kuhaka pita rataka sahodariyo vage inna bari moko,no
oya koheda inna,no
Dines malli oyata udaw karai,no
Loku dayak mayata kauru hari udau karanawanam  apa lankawa samahara minissu harima  kuhakai taman gana vitarai hitanna,no
Tho puke araganna giya nm puke araganin. Minissunta wada ganu ubala. Lankawe ona tharam garment wala jobvthiyanawa.  Tho rata giye puke ara gannane loku polu walin dan kapan katta. Wesi,yes
Kawda mee   dinash,no
Ammata hukawanna ona oya wesige,yes
Lankawana giyapu ajanciye nombare awana,no
Anith ganige wisthara danna nama enna than ahema okege  kimba palenna,yes
pau deiyne,no
Akke koheda inne oya,no
Gament ekakata gihilla hamba karaganna gewal wala wadata pita ratawal walata noya,no
Ane pau okita koi mohhothaka hari oya aparada pala denawa kari wesiyak,yes
Minis kama ballata gihilla anunta wala kapala thamangema jathiye unta kelawan un iddi kohomada hariyanne hena gahanna ona wesa huththi,yes
Rata kana gon palakayo koti ganan walin unge sakku purawagaddi me wage asarana lankawe minissunta wada karanna karmantha hadanna bari mokada me gonnu mokada karanne,yes
Mokada yako ballo,yes
Ethanth lankawe ganiyek thawath lankawe ahinsaka manussayekwa asaran karanne...,no
Nethinam gedara babage nomber eka denna prsne visadala dennam,no
Inna rata kiyanna inna thena kiyanna pulun deyak karanna balannam,no
Lankawe genu maha sakkili ballo oyata kawuruhari pihita wei,yes
Paw,no
Moko,no
KALAKANNI HATTA OYA SAKKILI MUSLIM BALLO  DUPPAT KAMATA YANAWATAMA AT SINHAL BALLA A WALIN PRRYOJANA GANNAWA APE SINHALA HATTA TAMA APITAMA KELINNE NANGI     OYATA  JESU PIHITAI,yes
Ai yakooo me akka,yes
plz help her,no
Oya ambasiyata yanne akki.,no
Oyat a udaw karayi dinesh Malli meka dakkama parissamen inna nangi  budu saranayi oyata mat inne qatar wala,no
Loke inna jarama jathiya......paw yako......,yes
Maha kaaalakanni jathiyak...henama gahapan....ane me kenata udaw karanna kawruhri,yes
Ane pau me nangita udau karanna puluwan tharan ikmanata,no
Paw aragani ganiyakda me apema sinhala minissu nathibari kamata awama mokada ane me ahinsaka ayata mahama karannana kithak papuwak na,yes
Komatati sinhala uni sinhala unita walakapanawa jaraha ganu,yes
Plsz M eyata udau karana,no
Mama hemadama kiyana da Ada dekka.pita rata rassawata yanawanam lankawa awun Inna tenakata yanna apa kiyala.giyat lankawan kanak lagata gannat apa.a taram jarama awun.apiwama vinasa karanna inna,no
"Hi, I live in the same house where this lady lives. If she didn't like the working conditions in this house, she could tell the family and they would cancel her contract with them so she can look for a different house to work in.",no
"Anyway, we hope that she communicate with us to cancel her contract and start working elsewhere and we wish her good luck.",no
Hoda wade topita arabiyanta puka denda yanawata..ai topota lankawe job ndda anunge pukawal hodanda yanne ubala sakkilyda ..yako lankawe idagena kiyak hari hoyagena  idapa ...dan ada ada idapan,yes
homa thama apa un  thama sakkili karana weda kranna oyata pihita wei hariyanawa  an udau karanna,yes
Ai deiyane minissu mechchara napuru.. Mage sahodariya oyata monawada karanna one..,no
Pau ane udauak karannako pau ane,no
ane deiyaneee.... pau.... oya gana dines ayiya balawiii parissamin inna....,no
Oya gedarin panala Embassy yanna,no
Oya gedara inna e ganu kenage photo ekak  danna e kena kawda kiyala anith ayata dana gannath ekka..ahinsaka kamin prayojana ganna aya thama godakma inne..,no
Ane deiyane lankawe wela hodin neda ona pau ane me akkata udau karanta,no
Oyage nambare ewanna,no
Ane paw meyata udaw karanna  ajanzy karayo thirisannu un ape  rate genu wikunan kanawa eetama ape genu apema genunta kenehili kam karanawa,no
Paw,no
Kauda oyata karadara karana lankave patta paduru wesii...okige huththa allala kochchi kotanna ona.gaaniyekge vedanava notherena huththiyak,yes
Koheda rata,no
